AirventCreak,22
AirventMove,22
BtnPress,2
CamManip,5
CamNoise,12
CamNoiseHighFreq,5
CamNoiseLowFreq,6
CMusic_Transition,4
Door_Cell_Open,6
Door_Default_Close,5
Door_Default_Open,2
Door_Default_Open_Fast,1
Door_Default_Open_Slow,3
Door_Glass_Close,1
Door_Glass_Open,1
Door_Metal_Close,1
Door_Metal_Open_Fast,5
Door_Metal_Open_Slow,4
Door_Metal_Open,7
Door_MetalFence_Lock,6
Door_Mtrl_Lock,5
Door_Mtrl_Open,3
Door_Security_Close,3
Door_Security_Open,4
Door_Wood_Bash,9
Door_Wood_Close,5
Door_Wood_Locked,2
Door_Wood_Open,7
Door_Wood_Shake,3
DustParticle,4
ElectricDoorBeep,1
ElectroFuse,1
ElevBtnPress,1
FloorSlap,1
FTS_Blood_Land,3
FTS_Blood_Run,10
FTS_Blood_Walk,10
FTS_Carpet_Run,7
FTS_Carpet_Walk,4
FTS_Concrete_Land,3
FTS_Concrete_Ledge,5
FTS_Concrete_Run_Alt,6
FTS_Concrete_Run,8
FTS_Concrete_Walk,14
FTS_Crunch,15
FTS_DeepWater_Walk,4
FTS_Grass_Land,5
FTS_Grass_Run,5
FTS_Grass_Walk,7
FTS_Ladder_Squeak,11
FTS_Ladder,18
FTS_MtrlHeavy_Land,3
FTS_MtrlHeavy_Run,6
FTS_MtrlHeavy_Walk,7
FTS_MtrlLight_Walk,10
FTS_Scrape_Squeeze,8
FTS_Smallwater_Land,3
FTS_Smallwater_Run,7
FTS_Smallwater_Walk,8
FTS_Straff_Cornchie,6
FTS_ThinWood_Run,6
FTS_ThinWood_Walk,21
FTS_Water_Run,4
FTS_Water_Walk,5
FTS_Wood_Land,4
FTS_Wood_Run,7
FTS_Wood_Walk,12
Gun_Cock,1
Gun_DrawOut,1
Gun_Fire,1
JacketCreak,11
JacketJump,10
JacketSitDown,4
JacketStandUp,10
Key_Use,1
Keyboard,6
LadderGet,13
LadderMove,8
Lever,1
LockerClose,1
LockerOpen,2
LockerSqueak,5
MenBoongLoop,1
MetalGrid,1
Opening_WakeUp,1
otSoft,4
otStrong,7
Paper_Get,1
PickupObj,1
PushMetalLoop,1
PushWoodLoop,1
Topni,4
ValveClose,3
ValveTurn,8
